Epoch: [0][0/677]	Time 0.255 (0.255)	Data 0.125 (0.125)	Loss 5.5457 (5.5457)	Prec@all 31.641 (31.641)
Epoch: [0][10/677]	Time 0.007 (0.029)	Data 0.004 (0.015)	Loss 5.5286 (5.5365)	Prec@all 38.281 (36.009)
Epoch: [0][20/677]	Time 0.003 (0.023)	Data 0.000 (0.014)	Loss 5.5192 (5.5299)	Prec@all 35.938 (37.928)
Epoch: [0][30/677]	Time 0.005 (0.020)	Data 0.002 (0.012)	Loss 5.5060 (5.5233)	Prec@all 41.016 (37.576)
Epoch: [0][40/677]	Time 0.019 (0.018)	Data 0.015 (0.012)	Loss 5.5300 (5.5212)	Prec@all 32.031 (37.719)
Epoch: [0][50/677]	Time 0.006 (0.017)	Data 0.002 (0.011)	Loss 5.5028 (5.5201)	Prec@all 42.578 (37.339)
Epoch: [0][60/677]	Time 0.022 (0.017)	Data 0.018 (0.011)	Loss 5.5004 (5.5192)	Prec@all 39.453 (37.711)
Epoch: [0][70/677]	Time 0.006 (0.016)	Data 0.003 (0.011)	Loss 5.5051 (5.5183)	Prec@all 46.875 (38.419)
Epoch: [0][80/677]	Time 0.036 (0.016)	Data 0.032 (0.011)	Loss 5.5097 (5.5172)	Prec@all 46.094 (38.990)
Epoch: [0][90/677]	Time 0.011 (0.016)	Data 0.008 (0.011)	Loss 5.5071 (5.5168)	Prec@all 43.750 (39.243)
Epoch: [0][100/677]	Time 0.026 (0.015)	Data 0.023 (0.011)	Loss 5.5019 (5.5162)	Prec@all 46.875 (39.882)
Epoch: [0][110/677]	Time 0.006 (0.015)	Data 0.003 (0.011)	Loss 5.5247 (5.5166)	Prec@all 38.672 (40.157)
Epoch: [0][120/677]	Time 0.025 (0.015)	Data 0.022 (0.011)	Loss 5.5067 (5.5161)	Prec@all 38.672 (40.292)
Epoch: [0][130/677]	Time 0.009 (0.015)	Data 0.006 (0.011)	Loss 5.5140 (5.5160)	Prec@all 36.328 (40.264)
Epoch: [0][140/677]	Time 0.022 (0.015)	Data 0.018 (0.011)	Loss 5.5062 (5.5150)	Prec@all 40.234 (40.439)
Epoch: [0][150/677]	Time 0.006 (0.015)	Data 0.003 (0.011)	Loss 5.4925 (5.5141)	Prec@all 43.359 (40.558)
Epoch: [0][160/677]	Time 0.026 (0.015)	Data 0.023 (0.011)	Loss 5.5169 (5.5140)	Prec@all 40.625 (40.671)
Epoch: [0][170/677]	Time 0.003 (0.015)	Data 0.000 (0.010)	Loss 5.5149 (5.5137)	Prec@all 32.422 (40.424)
Epoch: [0][180/677]	Time 0.026 (0.015)	Data 0.023 (0.011)	Loss 5.5264 (5.5143)	Prec@all 44.531 (40.362)
Epoch: [0][190/677]	Time 0.009 (0.014)	Data 0.005 (0.010)	Loss 5.5031 (5.5147)	Prec@all 41.797 (40.390)
Epoch: [0][200/677]	Time 0.018 (0.014)	Data 0.015 (0.010)	Loss 5.4739 (5.5144)	Prec@all 47.656 (40.376)
Epoch: [0][210/677]	Time 0.019 (0.014)	Data 0.016 (0.010)	Loss 5.5259 (5.5146)	Prec@all 42.969 (40.557)
Epoch: [0][220/677]	Time 0.006 (0.014)	Data 0.003 (0.010)	Loss 5.5084 (5.5145)	Prec@all 38.281 (40.595)
Epoch: [0][230/677]	Time 0.030 (0.014)	Data 0.027 (0.010)	Loss 5.5170 (5.5147)	Prec@all 36.328 (40.468)
Epoch: [0][240/677]	Time 0.004 (0.014)	Data 0.000 (0.010)	Loss 5.5119 (5.5147)	Prec@all 39.062 (40.375)
Epoch: [0][250/677]	Time 0.035 (0.014)	Data 0.031 (0.010)	Loss 5.5085 (5.5146)	Prec@all 37.891 (40.286)
Epoch: [0][260/677]	Time 0.003 (0.014)	Data 0.000 (0.010)	Loss 5.5220 (5.5144)	Prec@all 42.578 (40.329)
Epoch: [0][270/677]	Time 0.004 (0.014)	Data 0.000 (0.010)	Loss 5.5118 (5.5144)	Prec@all 44.922 (40.498)
Epoch: [0][280/677]	Time 0.006 (0.014)	Data 0.003 (0.010)	Loss 5.5026 (5.5141)	Prec@all 45.703 (40.646)
Epoch: [0][290/677]	Time 0.030 (0.014)	Data 0.026 (0.010)	Loss 5.5001 (5.5139)	Prec@all 39.453 (40.653)
Epoch: [0][300/677]	Time 0.003 (0.014)	Data 0.000 (0.010)	Loss 5.5402 (5.5147)	Prec@all 51.172 (40.798)
Epoch: [0][310/677]	Time 0.027 (0.014)	Data 0.023 (0.010)	Loss 5.5413 (5.5155)	Prec@all 49.609 (41.067)
Epoch: [0][320/677]	Time 0.011 (0.014)	Data 0.008 (0.010)	Loss 5.5379 (5.5162)	Prec@all 53.516 (41.400)
Epoch: [0][330/677]	Time 0.030 (0.014)	Data 0.026 (0.010)	Loss 5.5478 (5.5168)	Prec@all 48.828 (41.682)
Epoch: [0][340/677]	Time 0.007 (0.014)	Data 0.004 (0.010)	Loss 5.5406 (5.5172)	Prec@all 46.875 (41.914)
Epoch: [0][350/677]	Time 0.006 (0.014)	Data 0.003 (0.010)	Loss 5.5337 (5.5177)	Prec@all 51.172 (42.171)
Epoch: [0][360/677]	Time 0.008 (0.014)	Data 0.004 (0.010)	Loss 5.5224 (5.5180)	Prec@all 49.609 (42.354)
Epoch: [0][370/677]	Time 0.016 (0.014)	Data 0.012 (0.010)	Loss 5.5121 (5.5182)	Prec@all 45.703 (42.476)
Epoch: [0][380/677]	Time 0.010 (0.014)	Data 0.007 (0.010)	Loss 5.5229 (5.5184)	Prec@all 39.062 (42.473)
Epoch: [0][390/677]	Time 0.016 (0.014)	Data 0.013 (0.010)	Loss 5.5104 (5.5184)	Prec@all 50.000 (42.528)
Epoch: [0][400/677]	Time 0.014 (0.014)	Data 0.010 (0.010)	Loss 5.5047 (5.5184)	Prec@all 41.406 (42.492)
Epoch: [0][410/677]	Time 0.014 (0.014)	Data 0.010 (0.010)	Loss 5.5190 (5.5183)	Prec@all 42.188 (42.458)
Epoch: [0][420/677]	Time 0.018 (0.014)	Data 0.015 (0.010)	Loss 5.5328 (5.5181)	Prec@all 38.672 (42.447)
Epoch: [0][430/677]	Time 0.026 (0.014)	Data 0.022 (0.010)	Loss 5.5157 (5.5180)	Prec@all 42.578 (42.453)
Epoch: [0][440/677]	Time 0.024 (0.014)	Data 0.021 (0.010)	Loss 5.5212 (5.5178)	Prec@all 44.922 (42.488)
Epoch: [0][450/677]	Time 0.005 (0.014)	Data 0.001 (0.010)	Loss 5.5181 (5.5176)	Prec@all 44.141 (42.501)
Epoch: [0][460/677]	Time 0.016 (0.014)	Data 0.012 (0.010)	Loss 5.5042 (5.5175)	Prec@all 39.453 (42.478)
Epoch: [0][470/677]	Time 0.010 (0.014)	Data 0.007 (0.010)	Loss 5.5013 (5.5173)	Prec@all 35.156 (42.413)
Epoch: [0][480/677]	Time 0.011 (0.014)	Data 0.008 (0.010)	Loss 5.5185 (5.5173)	Prec@all 39.453 (42.304)
Epoch: [0][490/677]	Time 0.008 (0.014)	Data 0.005 (0.010)	Loss 5.5450 (5.5179)	Prec@all 47.266 (42.369)
Epoch: [0][500/677]	Time 0.013 (0.014)	Data 0.010 (0.010)	Loss 5.5460 (5.5185)	Prec@all 47.656 (42.434)
Epoch: [0][510/677]	Time 0.014 (0.014)	Data 0.011 (0.010)	Loss 5.5434 (5.5190)	Prec@all 48.047 (42.481)
Epoch: [0][520/677]	Time 0.032 (0.014)	Data 0.028 (0.010)	Loss 5.5419 (5.5195)	Prec@all 45.312 (42.524)
Epoch: [0][530/677]	Time 0.003 (0.014)	Data 0.000 (0.010)	Loss 5.5473 (5.5200)	Prec@all 43.359 (42.546)
Epoch: [0][540/677]	Time 0.016 (0.014)	Data 0.012 (0.010)	Loss 5.5458 (5.5205)	Prec@all 43.359 (42.569)
Epoch: [0][550/677]	Time 0.008 (0.014)	Data 0.004 (0.010)	Loss 5.5480 (5.5209)	Prec@all 45.703 (42.588)
Epoch: [0][560/677]	Time 0.013 (0.014)	Data 0.010 (0.010)	Loss 5.5478 (5.5214)	Prec@all 45.703 (42.630)
Epoch: [0][570/677]	Time 0.003 (0.014)	Data 0.000 (0.010)	Loss 5.5475 (5.5219)	Prec@all 44.141 (42.669)
Epoch: [0][580/677]	Time 0.015 (0.014)	Data 0.012 (0.010)	Loss 5.5457 (5.5223)	Prec@all 43.750 (42.682)
Epoch: [0][590/677]	Time 0.020 (0.014)	Data 0.017 (0.010)	Loss 5.5455 (5.5226)	Prec@all 41.406 (42.668)
Epoch: [0][600/677]	Time 0.006 (0.014)	Data 0.003 (0.010)	Loss 5.5429 (5.5230)	Prec@all 41.016 (42.644)
Epoch: [0][610/677]	Time 0.022 (0.014)	Data 0.019 (0.010)	Loss 5.5443 (5.5234)	Prec@all 40.625 (42.632)
Epoch: [0][620/677]	Time 0.010 (0.014)	Data 0.006 (0.010)	Loss 5.5471 (5.5237)	Prec@all 42.578 (42.632)
Epoch: [0][630/677]	Time 0.024 (0.014)	Data 0.020 (0.010)	Loss 5.5466 (5.5240)	Prec@all 40.625 (42.605)
Epoch: [0][640/677]	Time 0.004 (0.014)	Data 0.000 (0.010)	Loss 5.5464 (5.5244)	Prec@all 38.672 (42.592)
